date,reason,asian_high,asian_low,range_pips,w1_close,w1_ema,trend,london_close_07,london_close_08,london_close_09,signal_dir,entry_price
2015-02-11,signal_short,1.52669,1.52405,26.4,1.5225,1.57313,short,1.52389,1.52457,1.52545,-1,1.52405
2015-02-12,no_breakout_in_window,1.52483,1.52152,33.1,1.5225,1.57313,short,1.52248,1.52315,1.52352,0,
2015-02-13,no_breakout_in_window,1.54184,1.5379,39.4,1.5225,1.57313,short,1.54168,1.54056,1.53981,0,
2015-02-16,no_breakout_in_window,1.54353,1.53924,42.9,1.53928,1.57063,short,1.54327,1.54321,1.54376,0,
2015-02-17,no_breakout_in_window,1.53805,1.53497,30.8,1.53928,1.57063,short,1.53793,1.53747,1.53588,0,
2015-02-18,no_breakout_in_window,1.53607,1.53431,17.6,1.53928,1.57063,short,1.53587,1.53493,1.53465,0,
2015-02-19,no_breakout_in_window,1.54566,1.54331,23.5,1.53928,1.57063,short,1.54534,1.54592,1.54439,0,
2015-02-20,no_breakout_in_window,1.54333,1.54111,22.2,1.53928,1.57063,short,1.54257,1.54238,1.54306,0,
2015-02-23,no_breakout_in_window,1.53971,1.53681,29.0,1.53983,1.56834,short,1.53848,1.53873,1.53851,0,
2015-02-24,no_breakout_in_window,1.54586,1.54296,29.0,1.53983,1.56834,short,1.5435,1.54503,1.54544,0,
2015-02-25,no_breakout_in_window,1.54781,1.54465,31.6,1.53983,1.56834,short,1.54778,1.54954,1.55025,0,
2015-02-26,no_breakout_in_window,1.55516,1.55193,32.3,1.53983,1.56834,short,1.55372,1.55356,1.55338,0,
2015-02-27,no_breakout_in_window,1.54387,1.54036,35.1,1.53983,1.56834,short,1.54465,1.54267,1.54392,0,
2015-03-02,no_breakout_in_window,1.54281,1.53919,36.2,1.54365,1.56651,short,1.54102,1.53985,1.53942,0,
2015-03-03,no_breakout_in_window,1.53814,1.53547,26.7,1.54365,1.56651,short,1.53864,1.53804,1.53813,0,
2015-03-04,signal_short,1.53713,1.53448,26.5,1.54365,1.56651,short,1.53513,1.53434,1.53642,-1,1.53448
2015-03-05,signal_short,1.52687,1.52473,21.4,1.54365,1.56651,short,1.52459,1.5227,1.5246,-1,1.52473
2015-03-06,no_breakout_in_window,1.52554,1.5233,22.4,1.54365,1.56651,short,1.52435,1.52398,1.52349,0,
2015-03-09,no_breakout_in_window,1.50679,1.50328,35.1,1.50333,1.56183,short,1.50646,1.50748,1.50655,0,
